"filename", "language", "JSON", "Swift", "C++", "Markdown", "YAML", "XML", "HTML", "Dart", "Properties", "Gradle", "comment", "blank", "total"
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\README.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 14, 34
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\analysis_options.yaml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 22, 4, 32
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 1, 34
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\citizen-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\godfather-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\kane-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\konstantin-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\leon-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
