Date : 2024-02-12 11:18:58
Directory : e:\dart_flutter\my_apps\auto_mafia\auto_mafia
Total : 132 files,  15515 codes, 1349 comments, 2080 blanks, all 18944 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         71 |     13,908 |      1,073 |      1,783 |     16,764 |
| C++        |         16 |        538 |        121 |        182 |        841 |
| XML        |         25 |        535 |         48 |         27 |        610 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         94 |          5 |         22 |        121 |
| YAML       |          2 |         69 |         79 |         18 |        166 |
| Swift      |          6 |         54 |          7 |         20 |         81 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         23 |          0 |         16 |         39 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        132 |     15,515 |      1,349 |      2,080 |     18,944 |
| . (Files)                                                                                                                   |          3 |         89 |         79 |         32 |        200 |
| android                                                                                                                     |         12 |        161 |         51 |         33 |        245 |
| android (Files)                                                                                                             |          3 |         46 |          0 |         11 |         57 |
| android\app                                                                                                                 |          8 |        110 |         51 |         21 |        182 |
| android\app (Files)                                                                                                         |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                                             |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                        |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                                                                                |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                                                                                    |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                      |         15 |         72 |          0 |         15 |         87 |
| assets\cards                                                                                                                |         10 |         30 |          0 |         10 |         40 |
| assets\cards\roles                                                                                                          |         10 |         30 |          0 |         10 |         40 |
| assets\icons                                                                                                                |          1 |          9 |          0 |          1 |         10 |
| assets\images                                                                                                               |          4 |         33 |          0 |          4 |         37 |
| assets\images\back_ground                                                                                                   |          2 |         18 |          0 |          2 |         20 |
| assets\images\frames                                                                                                        |          1 |          6 |          0 |          1 |          7 |
| assets\images\nights                                                                                                        |          1 |          9 |          0 |          1 |         10 |
| ios                                                                                                                         |          8 |        229 |          4 |         13 |        246 |
